Titre;Description;MotsClés;NomDuLieu;CodePostal;Ville;Région;Département;TypeEvénement;AgeMinimum;AgeMaximum;ConditionsDeParticipation
Amours, poésie musicale;Un spectacle de Vincent  Vedovelli accompagné au chant et au piano par Agnès Dauneau.;;Médiathèque Anjela Duval;29470;Plougastel-Daoulas;Bretagne;Finistère;Spectacle (danse, concert, performance, théâtre…);13;99;Entrée libre
Exposition participative;"""La Nuit des Doudous""";"Doudou;Peluche;Facebook;Nuits-Saint-Georges;communauté de communes de Gevrey-Chambertin et de Nuits-Saint-Georges";Médiathèque intercommunale de Nuits-Saint-Georges;21700;Nuits-Saint-Georges;Bourgogne-Franche-Comté;Côte-d'Or;Exposition;;99;Entrée libre
Repas partagé;Temps convivial;"repas;temps convivial;communauté de communes de Gevrey-Chambertin et de Nuits-Saint-Georges;Réseau des médiathèques";Médiathèque intercommunale de Nuits-Saint-Georges;21700;Nuits-Saint-Georges;Bourgogne-Franche-Comté;Côte-d'Or;Dégustation, buffet, collation…;;;Entrée libre
Le jour d'Igor;Une lecture musicale qui revisite le conte du petit chaperon rouge.;;Médiathèque de Roubaix La Grand-Plage;59100;Roubaix;Hauts-de-France;Nord;Spectacle (danse, concert, performance, théâtre…);6;99;Entrée libre
Lecture rentrée littéraire par Jacquy Matheoux;Venez découvrir les sorties littéraires par la lecture à voix haute.;;Librairie Horizons SCOP;63200;Riom;Auvergne-Rhône-Alpes;Puy-de-Dôme;Lecture / Conte;;;Entrée libre
Pyjamots;Des histoires pleine de rêves et de fantaisie;"Soirée pyjama;contes;lectures d'albums";Médiathèque d'Entrammes;53260;Entrammes;Pays de la Loire;Mayenne;Lecture / Conte;4;99;Sur inscription
Lecture de textes de Boris Vian;Lectures de textes (poèmes, nouvelles, chansons) de Boris Vian;;Médiathèque de Vernaison;69390;Vernaison;Auvergne-Rhône-Alpes;Métropole de Lyon;Lecture / Conte;12;99;Sur inscription
Tolkien et les sciences - soirée rencontre avec Loïc Mangin;A l'occasion de la sortie de l'ouvrage Tolkien et les sciences, Loïc Mangin viendra présenter les liens passionnants entre sciences et fiction dans l’œuvre du célèbre auteur du Seigneur des anneaux.;Tolkien Science Fiction Fantastique Pierres précieuses Minéralogie Mines;Bibliothèque de l'École des mines de Paris;75006;Paris;Île-de-France;Paris;Conférence / table-ronde;15;99;Sur inscription
Petit Poilu;"""Petit poilu""… tu connais ! Mais Céline Fraipon et Pierre Bailly ?";;Médiathèque de Thaon-les-Vosges;88150;Capavenir-Vosges;Grand Est;Vosges;Exposition;;;Entrée libre
Atelier d'écriture;Atelier d'écriture animé par Mendy Raynaud poétesse;"Ecriture;Jeux";Mairie - Salle du conseil municipal;6850;Saint-Auban;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;Atelier;10;99;Sur inscription
