Titre;Description;MotsClés;NomDuLieu;CodePostal;Ville;Région;Département;TypeEvénement;AgeMinimum;AgeMaximum;ConditionsDeParticipation
Soirée ciné;Projection d'un film;film;Bibliothèque municipale de Plouarzel;29810;Plouarzel;Bretagne;Finistère;Projection;12;99;Entrée libre
Jeux de société;En famille ou entre amis, venez passer un moment convivial autour de jeux de société;"jeux;société";Bibliothèque municipale de Plouarzel;29810;Plouarzel;Bretagne;Finistère;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);;;Entrée libre
Foire aux livres, CD, revues;Grande vente de livres, CD, revues de seconde main au tarif unique de 1€ et 2€;"Exposition;Vente";Médiathèque de Fontenay-aux-Roses;92260;Fontenay-aux-Roses;Île-de-France;Hauts-de-Seine;Autre (précisez dans le champ ci-dessous);;99;Entrée libre
"Bib/Café ""Afrique""";Echange de coups de coeur, découverte de livres d'auteurs africains et de livres sur l'Afrique;Coups de coeur - Café - Afrique;Bibliothèque municipale de Brézins;38590;Brézins;Auvergne-Rhône-Alpes;Isère;Partage de coups de cœur, conseils de lecture, « speed-booking »;16;99;Entrée libre
"Présentation du livre ""Journal de Brousse"" par son auteur";"Présentation du livre ""Journal de brousse"", échange avec son auteur";Rencontre - Auteur - Afrique;Bibliothèque municipale de Brézins;38590;Brézins;Auvergne-Rhône-Alpes;Isère;Rencontre d'auteur(s) et dédicace;16;99;Entrée libre
Partage de blagues;Des blagues à disposition !;;Médiathèque B612;69230;Saint-Genis-Laval;Auvergne-Rhône-Alpes;Métropole de Lyon;Atelier;7;99;Entrée libre
Jeux de société;Jeux de société à énigmes;;Centre des Archives et de la Bibliothèque départementales de l'Aisne;2000;Laon;Hauts-de-France;Aisne;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);;;Entrée libre
Tous à la table de jeux !;En partenariat avec la Ludo-biblio Accoord Bout des Pavés. Prêts ? Partez ! Viens te surpasser et montrer tes talents de cuistot à Overcooked, un jeu vidéo d’action culinaire complètement chaotique !;Jeux;Maison de quartier La Mano;44300;Nantes;Pays de la Loire;Loire-Atlantique;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);;;Entrée libre
« Impro' Viste ».;Intervention drôle et décalée dite « Impro' Viste » par la Ligue d'Improvisation de Touraine;Improvisation - humour - spectacle - performance - Touraine;Médiathèque de Joué-lès-Tours;37300;Joué-lès-Tours;Centre-Val de Loire;Indre-et-Loire;Spectacle (danse, concert, performance, théâtre…);7;99;Entrée libre
Jeux de société;Aprem' jeux de société en famille, entre amis;;Mairie d'Avanne-Aveney;25720;Avanne-Aveney;Bourgogne-Franche-Comté;Doubs;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);;;Entrée libre
Atelier suédage;Venez vous amuser à faire le remake d'une séquence culte d'un grand classique du cinéma en rejouant les scènes plus ou moins fidèlement, dans des conditions artisanales.;Atelier suédage;Médiathèque Jacques Demy;44000;Nantes;Pays de la Loire;Loire-Atlantique;Atelier;;;Entrée libre
Blind quiz test cinéma;Venez tester vos connaissances cinématographiques (bandes originales, répliques… ) dans une ambiance à la Wes Anderson.;Jeu quiz;Médiathèque Jacques Demy;44000;Nantes;Pays de la Loire;Loire-Atlantique;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);;;Entrée libre
Laissez-vous conter le cinéma;Contes adaptés des grands classiques du cinéma pour enfants;Lectures contes;Médiathèque Jacques Demy;44000;Nantes;Pays de la Loire;Loire-Atlantique;Lecture / Conte;5;99;Entrée libre
"Lecture d'extraits du livre ""A la ligne, feuillets d'usine"" de Joseph Ponthus";Lecture d'extraits du roman de Joseph Ponthus.;"Lecture;Ponthus";Bibliothèque municipale Galilée;76350;Oissel;Normandie;Seine-Maritime;Lecture / Conte;;;Entrée libre
Lectures à haute voix aux CDI du collège et du lycée : kamishibai;Découverte d'un Kamishibai plurilingue;"lecture à haute voix;établissement scolaire;UPE2A";Collège et lycée Victor Duruy;75007;Paris;Île-de-France;;Atelier;10;99;Entrée libre
Lecture à la lampe torche;Lecture d'histoires à la lampe torche sur le thème des monstres pour les 3 - 5 ans;"lecture;histoire;monstres;camus;bourg;ain;médiathèque;animation;nuit;torche";Médiathèque Albert Camus;1000;Bourg-en-Bresse;Auvergne-Rhône-Alpes;;Lecture / Conte;3;5;Entrée libre
Projection de courts métrages;Projection de courts métrages sur le thème des monstres pour les 7 - 12 ans;"histoire;monstres;camus;bourg;ain;médiathèque;animation;nuit;projection;film;court métrage";Médiathèque Albert Camus;1000;Bourg-en-Bresse;Auvergne-Rhône-Alpes;;Projection;7;12;Entrée libre
Réalité Virtuelle;Plongez dans la réalité virtuelle avec le PSVR et l'Oculus Rift mais attention aux monstres...;"monstres;camus;bourg;ain;médiathèque;animation;nuit;réalité virtuelle;PSVR;Oculus;Jeux vidéo";Médiathèque Albert Camus;1000;Bourg-en-Bresse;Auvergne-Rhône-Alpes;;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);14;99;Entrée libre
"Projection du film ""A la recherche des femmes chefs"" suivie d'une rencontre avec Jacotte Brazier";"venez assister à la projection du film documentaire ""À la recherche des femmes chefs"" de Vérane Frédiani. La projection sera suivie d'une rencontre avec Jacotte Brazier, petite fille d'Eugénie Brazier";"projection;rencontre;gastronomie;alimentation";Médiathèque du Bachut;69008;Lyon-8E-Arrondissement;Auvergne-Rhône-Alpes;Métropole de Lyon;Projection;;;Entrée libre
Lecture en pyjama;Lecture à voix haute;;Bibliothèque Denis Diderot;59494;Petite-Forêt;Hauts-de-France;Nord;Lecture / Conte;2;10;Sur inscription
"Conte ""La Fileuse des songes""";Qui sont ces êtres merveilleux qui habitent nos songes ?;songes - extraordinaire - bergère - cieux;Médiathèque intercommunale Olympe de Gouges;30170;Saint-Hippolyte-du-Fort;Occitanie;Gard;Lecture / Conte;2;99;Entrée libre
Once upon a time;Après-midi jeux de société;;Médiathèque municipale de Maubeuge;59600;Maubeuge;Hauts-de-France;Nord;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);;;Sur inscription
Escape game panique dans la bibliothèque;Pour la 4e édition de la Nuit de la lecture la bibliothèque a besoin de vous ! Venez nous aider à résoudre une enquête et tenter l’expérience de l’escape game;;Médiathèque Rêve et savoir;63510;Aulnat;Auvergne-Rhône-Alpes;;Autre (précisez dans le champ ci-dessous);11;99;Sur inscription
Visites insolites de la Médiathèque;Redécouvrez les espaces publics et enfoncez-vous dans les mystères du pôle Patrimoine guidé par un bibliothécaire !;;Médiathèque Simone-Veil;59300;Valenciennes;Hauts-de-France;Nord;Visite guidée / visite insolite;;;Sur inscription
Atelier Snoezelen pour les 0-4 ans;Une stimulation multi sensorielle, une pratique visant à éveiller la sensorialité de la personne stimulée, dans une ambiance sécurisante.;;Médiathèque Simone-Veil;59300;Valenciennes;Hauts-de-France;Nord;Atelier;;4;Sur inscription
Atelier marque-page;Atelier création de marque-page !;"famille;création;marque page";Bibliothèque municipale Marie-Paule Salonne;22130;Plancoët;Bretagne;;Atelier;;;Entrée libre
